"istatId","population","lng","lat","ANPR","name","province","region","month","d15","d16","d17","d18","d19","d20","mar19","mar20","officialCovid","istatMarch","ecoBG","bsToday"
"1112","9536","7.82489660","45.12745280","1112","Gassino Torinese","Torino","Piemonte","3","10","8","7","9","7","12","0","0","0","1","0","0"
"1113","1256","7.46686447","45.26218096","1113","Germagnano","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1114","653","7.01413849","45.13968801","1114","Giaglione","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1115","16281","7.35308652","45.04475307","1115","Giaveno","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1116","3640","7.49677295","45.15877935","1116","Givoletto","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1117","715","7.02107286","45.12391840","1117","Gravere","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1118","191","7.28229522","45.36895345","1118","Groscavallo","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1119","1040","7.55663354","45.25636722","1119","Grosso","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1120","37194","7.57780057","45.06211095","1120","Grugliasco","Torino","Piemonte","3","31","28","41","29","28","49","0","0","0","1","0","0"
"1121","49","7.57086278","45.46629106","1121","Ingria","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1122","741","7.21596397","44.94722972","1122","Inverso Pinasca","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1123","393","7.90926775","44.90664468","1123","Isolabella","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1124","425","7.75416284","45.44680942","1124","Issiglio","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1125","23592","7.87596694","45.46618879","1125","Ivrea","Torino","Piemonte","3","24","23","26","31","26","29","0","0","0","1","0","0"
