Codice comune,Popolazione al 1/1/19
10006,5490
10007,5241
10008,2854
10009,6728
10010,3740
10011,6868
10012,3164
10013,1598
10014,3756
10015,27537
10016,2441
10017,8938
10018,5683
10019,258
10020,527
10021,1875
10022,65
10023,459
10024,261
10025,578000
10026,88
10027,1477
10028,12566
10029,2425
10030,436
10031,1517
10032,3656
10033,2664
10034,1509
10035,3580
10036,2466
10037,2763
10038,225
10039,2005
10040,2260
10041,857
10042,537
10043,2505
10044,387
10045,141
10046,29692
10047,9632
10048,951
10049,4295
10050,62
10051,2651
10052,508
10053,2622
10054,9024
10055,5838
10056,1086
10057,3067
10058,7777
10059,18169
10060,4033
10061,525
10062,2228
10063,601
10064,2165
10065,782
10066,380
10067,2424
11001,4316
11002,10509
11003,2350
11004,7733
11005,829
11006,901
11007,1284
11008,1085
11009,527
11010,487
11011,8381
11012,1346
11013,6317
11014,645
11015,93229
11016,10053
11017,5388
11018,603
11019,1409
11020,8387
11021,556
11022,3510
11023,3625
11024,1483
11025,686
11026,9901
11027,22104
11028,1355
11029,1903
11030,800
11031,7347
11032,507
12001,399
12002,5251
12003,5489
12004,10066
12005,4897
12006,4686
12007,769
12008,1715
12009,1630
12010,646
12011,2566
12012,5596
12013,8984
12014,3314
12015,4309
12016,2217
12017,3231
12018,873
12019,1671
12020,1203
12021,814
12022,1223
12023,942
12024,1202
12025,3093
12026,83628
12027,2181
12028,1870
12029,7671
12030,4716
12031,2565
12032,14956
12033,6657
12034,17938
12035,4881
12036,2673
12037,1370
12038,3692
12039,5721
12040,21731
12041,671
12042,14516
12043,559
12044,1308
12045,1989
12046,7685
12047,5194
12048,5819
12049,828
12050,10412
12051,3878
12052,1914
12053,4740
12054,1185
12055,2904
12056,813
12057,597
12058,3593
12059,3079
12060,2906
12061,167
12062,3354
12063,1671
12064,3053
12065,1485
12066,128
12067,12498
12068,6796
12069,709
12070,53339
12071,994
12072,9327
12073,4617
12074,2881
12075,10908
12076,3954
12077,2699
12078,4942
12079,8364
12080,2193
12081,1270
12082,1067
12083,10311
12084,5309
12085,5256
12086,5895
12087,8685
12088,3766
12089,5029
12090,11726
12091,1250
12092,14306
12093,1330
12095,1276
12096,16730
12097,3491
12098,7936
12099,345
12100,299
12101,1815
12102,1573
12103,1489
12104,1954
12105,4276
12106,5011
12107,4332
12108,12541
12109,7880
12110,823
12111,818
12113,2942
12114,2360
12115,933
12116,1308
12117,3097
12118,16125
12119,39415
12120,11080
12121,4120
12122,5446
12123,17944
12124,6115
12125,3683
12126,2560
12127,18983
12128,4057
12129,223
12130,10656
12131,1599
12132,2490
12133,80559
12134,7427
12136,6097
12137,7378
12138,8716
12139,5264
12140,576
12141,1521
12142,2600
13003,6354
13004,4228
13005,2742
13006,1265
13007,4953
13009,1812
13010,7779
13011,654
13012,5087
13013,3579
13015,565
13021,330
13022,2767
13023,4831
13024,1654
13025,282
13026,1184
13028,6503
13029,2148
13030,329
13032,1710
13034,4104
13035,7493
13036,7995
13037,483
13040,1961
13041,40007
13042,5167
13043,5535
