Istat,Comune,Provincia,Regione,Abitanti,2019-03,2020-03,Ufficiali Covid
17193,Vallio Terme,BS,LOM,"1,337",,,
17194,Valvestino,BS,LOM,214,,,
17195,Verolanuova,BS,LOM,"8,183",,,
17196,Verolavecchia,BS,LOM,"3,903",,,
17197,Vestone,BS,LOM,"4,509",,,
17198,Vezza d'Oglio,BS,LOM,"1,475",,,
17199,Villa Carcina,BS,LOM,"10,997",,,
17200,Villachiara,BS,LOM,"1,456",,,
17201,Villanuova sul Clisi,BS,LOM,"5,855",,,
17202,Vione,BS,LOM,729,,,
17203,Visano,BS,LOM,"1,953",,,
17204,Vobarno,BS,LOM,"8,259",,,
17205,Zone,BS,LOM,"1,110",,,
