"istatId","name","month","d15","d16","d17","d18","d19","d20","istatMarch","ecoBG","bsToday","mar19","mar20","officialCovid","population","nameItSt","lng","lat"
"7066","Sarre","3","2","1","2","3","2","5","1",,,,,,"4857","Sarre","7.25764516","45.71794426"
"8031","Imperia","3","33","26","27","32","31","45","1",,,,,,"42322","Imperia","8.02785030","43.88570648"
"8042","Pieve di Teco","3","3","1","0","1","3","2","1",,,,,,"1400","Pieve di Teco","7.91521507","44.04699787"
"8055","Sanremo","3","61","49","51","52","42","64","1",,,,,,"54137","Sanremo","7.78463261","43.82100004"
"8056","Santo Stefano al Mare","3","2","0","0","3","1","4","1",,,,,,"2239","Santo Stefano al Mare","7.89907803","43.83724835"
"8059","Taggia","3","8","14","12","12","13","22","1",,,,,,"14032","Taggia","7.85052289","43.84362744"
"8063","Vallecrosia","3","3","5","5","9","3","8","1",,,,,,"7032","Vallecrosia","7.64378720","43.79318232"
"9001","Alassio","3","7","10","11","9","11","15","1",,,,,,"11026","Alassio","8.17296106","44.00803855"
"9006","Andora","3","2","6","6","4","1","6","1",,,,,,"7470","Andora","8.14003459","43.95824758"
"9052","Quiliano","3","7","0","7","5","4","7","1",,,,,,"7336","Quiliano","8.41137969","44.29342208"
"9056","Savona","3","60","54","45","55","46","65","1",,,,,,"60661","Savona","8.48110865","44.30750461"
"10010","Carasco","3","1","0","1","3","1","5","1",,,,,,"3649","Carasco","9.34404046","44.35131469"
"10017","Cogoleto","3","0","8","6","5","6","9","1",,,,,,"9145","Cogoleto","8.64632983","44.38946889"
"10032","Masone","3","1","5","0","3","6","4","1",,,,,,"3758","Masone","8.71169286","44.50363621"
"10046","Rapallo","3","21","21","19","19","28","32","1",,,,,,"29226","Rapallo","9.23174684","44.35017452"
"10051","Rossiglione","3","5","4","3","2","2","5","1",,,,,,"2932","Rossiglione","8.67053508","44.56211352"
"10058","Serra Riccò","3","7","3","8","9","7","9","1",,,,,,"7931","Serra Riccò","8.93604499","44.50784963"
"11003","Beverino","3","2","1","4","1","0","4","1",,,,,,"2403","Beverino","9.76927899","44.19406922"
"11023","Riccò del Golfo di Spezia","3","1","2","2","1","1","5","1",,,,,,"3537","Riccò del Golfo di Spezia","9.76342359","44.15555832"
"11026","Santo Stefano di Magra","3","9","3","1","11","7","9","1",,,,,,"8790","Santo Stefano di Magra","9.91509755","44.16241113"
"11027","Sarzana","3","14","12","12","14","18","23","1",,,,,,"21829","Sarzana","9.95967625","44.11292985"
"11031","Vezzano Ligure","3","3","3","6","4","4","7","1",,,,,,"7391","Vezzano Ligure","9.88447876","44.14135989"
"12002","Albizzate","3","2","4","2","3","5","5","1",,,,,,"5292","Albizzate","8.80354799","45.72373624"
"12011","Besano","3","4","2","0","5","1","4","1",,,,,,"2603","Besano","8.88994859","45.88923148"
"12029","Cairate","3","7","5","3","5","4","6","1",,,,,,"7830","Cairate","8.87081304","45.69202754"
"12035","Caronno Varesino","3","2","3","4","5","3","5","1",,,,,,"4940","Caronno Varesino","8.83098855","45.73879258"
"12039","Casorate Sempione","3","3","2","2","1","3","3","1",,,,,,"5726","Casorate Sempione","8.74031796","45.67171363"
"12053","Cocquio-Trevisago","3","3","1","6","3","7","6","1",,,,,,"4756","Cocquio-Trevisago","8.69654650","45.85787962"
"12079","Gorla Minore","3","4","3","2","8","1","10","1",,,,,,"8398","Gorla Minore","8.89650863","45.64326093"
"12084","Ispra","3","5","4","2","5","3","6","1",,,,,,"5178","Ispra","8.61026566","45.81617289"
"12090","Lonate Pozzolo","3","8","5","8","5","10","10","1",,,,,,"11748","Lonate Pozzolo","8.75237386","45.60005908"
"12105","Morazzone","3","3","0","0","2","3","4","1",,,,,,"4303","Morazzone","8.82937436","45.76916148"
"12108","Olgiate Olona","3","5","5","3","7","6","8","1",,,,,,"12215","Olgiate Olona","8.89079261","45.62776512"
"12113","Porto Ceresio","3","1","2","0","2","1","5","1",,,,,,"3001","Porto Ceresio","8.90627938","45.90401736"
"12125","Taino","3","3","1","3","0","2","3","1",,,,,,"3762","Taino","8.61659007","45.76498844"
"12137","Venegono Superiore","3","3","3","2","8","4","7","1",,,,,,"7180","Venegono Superiore","8.90171645","45.74912455"
"12142","Maccagno con Pino e Veddasca","3","3","0","2","4","1","3","1",,,,,,"2444","Maccagno con Pino e Veddasca","8.74237","46.0426"
"13010","Appiano Gentile","3","4","8","3","4","9","8","1",,,,,,"7718","Appiano Gentile","8.97949173","45.73500438"
"13012","Arosio","3","6","4","3","3","4","8","1",,,,,,"4987","Arosio","9.20766723","45.71664742"
"13022","Beregazzo con Figliaro","3","2","2","3","1","2","4","1",,,,,,"2577","Beregazzo con Figliaro","8.95087680","45.77587949"
"13023","Binago","3","2","5","0","0","5","4","1",,,,,,"4776","Binago","8.92256563","45.78468601"
"13035","Cabiate","3","2","1","6","1","4","4","1",,,,,,"7412","Cabiate","9.16670282","45.67319795"
"13041","Cantù","3","25","21","19","19","21","26","1",,,,,,"38717","Cantù","9.12658065","45.73938659"
"13064","Cermenate","3","5","2","3","5","4","11","1",,,,,,"9023","Cermenate","9.08268731","45.69856700"
"13090","Dongo","3","0","4","6","0","1","3","1",,,,,,"3489","Dongo","9.27949844","46.12302711"
"13095","Erba","3","16","13","7","11","17","16","1",,,,,,"16503","Erba","9.22318311","45.81193507"
"13101","Figino Serenza","3","4","4","4","2","2","6","1",,,,,,"5226","Figino Serenza","9.12719392","45.71163141"
"13110","Grandate","3","2","1","2","1","2","5","1",,,,,,"2862","Grandate","9.05829996","45.77389370"
"13118","Inverigo","3","4","3","5","2","3","6","1",,,,,,"8926","Inverigo","9.21493527","45.73292730"
"13129","Lipomo","3","1","7","2","2","2","6","1",,,,,,"5800","Lipomo","9.12147915","45.79479996"
"13133","Lomazzo","3","4","4","6","4","3","8","1",,,,,,"9194","Lomazzo","9.04014928","45.69902477"
"13135","Luisago","3","1","1","1","1","2","4","1",,,,,,"2686","Luisago","9.04345668","45.76121718"
"13138","Lurate Caccivio","3","4","8","3","5","5","10","1",,,,,,"9922","Lurate Caccivio","9.00067971","45.76555430"
"13143","Mariano Comense","3","23","6","10","8","7","18","1",,,,,,"23500","Mariano Comense","9.18251093","45.69709757"
"13144","Maslianico","3","2","0","3","3","4","5","1",,,,,,"3305","Maslianico","9.04846523","45.84256390"
"13145","Menaggio","3","3","5","2","2","2","5","1",,,,,,"3182","Menaggio","9.23891075","46.02110324"
"13165","Olgiate Comasco","3","5","5","5","8","10","11","1",,,,,,"11401","Olgiate Comasco","8.96748481","45.78582872"
"13189","Porlezza","3","6","3","2","3","3","6","1",,,,,,"4661","Porlezza","9.11981421","46.03641282"
"13254","Centro Valle Intelvi","3","2","0","2","4","2","4","1",,,,,,"3227","Centro Valle Intelvi","9.0706344","45.9586478"
"14033","Grosio","3","4","2","2","2","2","6","1",,,,,,"4619","Grosio","10.27571813","46.29730226"
"14044","Montagna in Valtellina","3","2","1","3","2","5","5","1",,,,,,"3031","Montagna in Valtellina","9.90064979","46.17824643"
"14045","Morbegno","3","12","5","9","6","8","15","1",,,,,,"11786","Morbegno","9.56978082","46.13045582"
"14052","Ponte in Valtellina","3","3","1","5","2","3","5","1",,,,,,"2304","Ponte in Valtellina","9.97748966","46.17438989"
"14060","Sondalo","3","4","2","3","2","5","5","1",,,,,,"4237","Sondalo","10.32367779","46.33202816"
"14071","Valdidentro","3","2","2","2","1","2","3","1",,,,,,"4045","Valdidentro","10.29680566","46.48933294"
"14078","Villa di Tirano","3","2","2","4","6","2","5","1",,,,,,"2957","Villa di Tirano","10.13320677","46.20268316"
"15007","Arconate","3","4","2","3","3","5","5","1",,,,,,"6524","Arconate","8.85151512","45.54155555"
"15009","Arese","3","6","8","8","11","7","15","1",,,,,,"19138","Arese","9.07857580","45.54987207"
"15015","Basiglio","3","1","1","5","3","3","5","1",,,,,,"7567","Basiglio","9.16147420","45.36271707"
